item_id,movie_title,genre,genre_enc,release_decade,release_decade_enc
86,Searching for Bobby Fischer (1993),['Drama'],[8],1990,7
87,Sleepless in Seattle (1993),"['Comedy', 'Romance']","[5, 14]",1990,7
88,Blade Runner (1982),"['Film-Noir', 'Sci-Fi']","[10, 15]",1980,6
89,So I Married an Axe Murderer (1993),"['Comedy', 'Romance', 'Thriller']","[5, 14, 16]",1990,7
90,"Nightmare Before Christmas, The (1993)","[""Children's"", 'Comedy', 'Musical']","[4, 5, 12]",1990,7
91,True Romance (1993),"['Action', 'Crime', 'Romance']","[1, 6, 14]",1990,7
92,Welcome to the Dollhouse (1995),"['Comedy', 'Drama']","[5, 8]",1990,7
93,Home Alone (1990),"[""Children's"", 'Comedy']","[4, 5]",1990,7
94,Aladdin (1992),"['Animation', ""Children's"", 'Comedy', 'Musical']","[3, 4, 5, 12]",1990,7
95,Terminator 2: Judgment Day (1991),"['Action', 'Sci-Fi', 'Thriller']","[1, 15, 16]",1990,7
96,Dances with Wolves (1990),"['Adventure', 'Drama', 'Western']","[2, 8, 18]",1990,7
97,"Silence of the Lambs, The (1991)","['Drama', 'Thriller']","[8, 16]",1990,7
98,Snow White and the Seven Dwarfs (1937),"['Animation', ""Children's"", 'Musical']","[3, 4, 12]",1930,1
99,Fargo (1996),"['Crime', 'Drama', 'Thriller']","[6, 8, 16]",1990,7
100,Heavy Metal (1981),"['Action', 'Adventure', 'Animation', 'Horror', 'Sci-Fi']","[1, 2, 3, 11, 15]",1980,6
101,"Aristocats, The (1970)","['Animation', ""Children's""]","[3, 4]",1970,5
102,All Dogs Go to Heaven 2 (1996),"['Animation', ""Children's"", 'Musical']","[3, 4, 12]",1990,7
103,Theodore Rex (1995),['Comedy'],[5],1990,7
104,Sgt. Bilko (1996),['Comedy'],[5],1990,7
105,Diabolique (1996),"['Drama', 'Thriller']","[8, 16]",1990,7
106,Moll Flanders (1996),['Drama'],[8],1990,7
107,Kids in the Hall: Brain Candy (1996),['Comedy'],[5],1990,7
108,Mystery Science Theater 3000: The Movie (1996),"['Comedy', 'Sci-Fi']","[5, 15]",1990,7
109,Operation Dumbo Drop (1995),"['Action', 'Adventure', 'Comedy', 'War']","[1, 2, 5, 17]",1990,7
110,"Truth About Cats & Dogs, The (1996)","['Comedy', 'Romance']","[5, 14]",1990,7
111,Flipper (1996),"['Adventure', ""Children's""]","[2, 4]",1990,7
112,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",['Drama'],[8],1990,7
113,Wallace & Gromit: The Best of Aardman Animation (1996),['Animation'],[3],1990,7
114,"Haunted World of Edward D. Wood Jr., The (1995)",['Documentary'],[7],1990,7
115,Cold Comfort Farm (1995),['Comedy'],[5],1990,7
116,"Rock, The (1996)","['Action', 'Adventure', 'Thriller']","[1, 2, 16]",1990,7
117,Twister (1996),"['Action', 'Adventure', 'Thriller']","[1, 2, 16]",1990,7
118,Maya Lin: A Strong Clear Vision (1994),['Documentary'],[7],1990,7
119,Striptease (1996),"['Comedy', 'Crime']","[5, 6]",1990,7
120,Independence Day (ID4) (1996),"['Action', 'Sci-Fi', 'War']","[1, 15, 17]",1990,7
121,"Cable Guy, The (1996)",['Comedy'],[5],1990,7
122,"Frighteners, The (1996)","['Comedy', 'Horror']","[5, 11]",1990,7
123,Lone Star (1996),"['Drama', 'Mystery']","[8, 13]",1990,7
124,Phenomenon (1996),"['Drama', 'Romance']","[8, 14]",1990,7
125,"Spitfire Grill, The (1996)",['Drama'],[8],1990,7
126,"Godfather, The (1972)","['Action', 'Crime', 'Drama']","[1, 6, 8]",1970,5
127,Supercop (1992),"['Action', 'Thriller']","[1, 16]",1990,7
128,Bound (1996),"['Crime', 'Drama', 'Romance', 'Thriller']","[6, 8, 14, 16]",1990,7
129,Kansas City (1996),['Crime'],[6],1990,7
130,Breakfast at Tiffany's (1961),"['Drama', 'Romance']","[8, 14]",1960,4
131,"Wizard of Oz, The (1939)","['Adventure', ""Children's"", 'Drama', 'Musical']","[2, 4, 8, 12]",1930,1
132,Gone with the Wind (1939),"['Drama', 'Romance', 'War']","[8, 14, 17]",1930,1
133,Citizen Kane (1941),['Drama'],[8],1940,2
134,2001: A Space Odyssey (1968),"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']","[8, 13, 15, 16]",1960,4
135,Mr. Smith Goes to Washington (1939),['Drama'],[8],1930,1
136,Big Night (1996),['Drama'],[8],1990,7
137,D3: The Mighty Ducks (1996),"[""Children's"", 'Comedy']","[4, 5]",1990,7
138,"Love Bug, The (1969)","[""Children's"", 'Comedy']","[4, 5]",1960,4
139,Homeward Bound: The Incredible Journey (1993),"['Adventure', ""Children's""]","[2, 4]",1990,7
140,"20,000 Leagues Under the Sea (1954)","['Adventure', ""Children's"", 'Fantasy', 'Sci-Fi']","[2, 4, 9, 15]",1950,3
141,Bedknobs and Broomsticks (1971),"['Adventure', ""Children's"", 'Musical']","[2, 4, 12]",1970,5
142,"Sound of Music, The (1965)",['Musical'],[12],1960,4
143,Die Hard (1988),"['Action', 'Thriller']","[1, 16]",1980,6
144,"Lawnmower Man, The (1992)","['Action', 'Sci-Fi', 'Thriller']","[1, 15, 16]",1990,7
145,Unhook the Stars (1996),['Drama'],[8],1990,7
146,"Long Kiss Goodnight, The (1996)","['Action', 'Thriller']","[1, 16]",1990,7
147,"Ghost and the Darkness, The (1996)","['Action', 'Adventure']","[1, 2]",1990,7
148,Jude (1996),['Drama'],[8],1990,7
149,Swingers (1996),"['Comedy', 'Drama']","[5, 8]",1990,7
150,Willy Wonka and the Chocolate Factory (1971),"['Adventure', ""Children's"", 'Comedy']","[2, 4, 5]",1970,5
151,Sleeper (1973),"['Comedy', 'Sci-Fi']","[5, 15]",1970,5
152,"Fish Called Wanda, A (1988)",['Comedy'],[5],1980,6
153,Monty Python's Life of Brian (1979),['Comedy'],[5],1970,5
154,Dirty Dancing (1987),"['Musical', 'Romance']","[12, 14]",1980,6
155,Reservoir Dogs (1992),"['Crime', 'Thriller']","[6, 16]",1990,7
156,Platoon (1986),"['Drama', 'War']","[8, 17]",1980,6
157,Weekend at Bernie's (1989),['Comedy'],[5],1980,6
158,Basic Instinct (1992),"['Mystery', 'Thriller']","[13, 16]",1990,7
159,Glengarry Glen Ross (1992),['Drama'],[8],1990,7
160,Top Gun (1986),"['Action', 'Romance']","[1, 14]",1980,6
161,On Golden Pond (1981),['Drama'],[8],1980,6
162,"Return of the Pink Panther, The (1974)",['Comedy'],[5],1970,5
163,"Abyss, The (1989)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']","[1, 2, 15, 16]",1980,6
164,Jean de Florette (1986),['Drama'],[8],1980,6
165,Manon of the Spring (Manon des sources) (1986),['Drama'],[8],1980,6
166,Private Benjamin (1980),['Comedy'],[5],1980,6
167,Monty Python and the Holy Grail (1974),['Comedy'],[5],1970,5
168,"Wrong Trousers, The (1993)","['Animation', 'Comedy']","[3, 5]",1990,7
169,Cinema Paradiso (1988),"['Comedy', 'Drama', 'Romance']","[5, 8, 14]",1980,6
170,Delicatessen (1991),"['Comedy', 'Sci-Fi']","[5, 15]",1990,7
171,"Empire Strikes Back, The (1980)","['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi', 'War']","[1, 2, 8, 14, 15, 17]",1980,6
172,"Princess Bride, The (1987)","['Action', 'Adventure', 'Comedy', 'Romance']","[1, 2, 5, 14]",1980,6
173,Raiders of the Lost Ark (1981),"['Action', 'Adventure']","[1, 2]",1980,6
174,Brazil (1985),['Sci-Fi'],[15],1980,6
175,Aliens (1986),"['Action', 'Sci-Fi', 'Thriller', 'War']","[1, 15, 16, 17]",1980,6
176,"Good, The Bad and The Ugly, The (1966)","['Action', 'Western']","[1, 18]",1960,4
177,12 Angry Men (1957),['Drama'],[8],1950,3
178,"Clockwork Orange, A (1971)",['Sci-Fi'],[15],1970,5
179,Apocalypse Now (1979),"['Drama', 'War']","[8, 17]",1970,5
180,Return of the Jedi (1983),"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']","[1, 2, 14, 15, 17]",1990,7
181,GoodFellas (1990),"['Crime', 'Drama']","[6, 8]",1990,7
182,Alien (1979),"['Action', 'Horror', 'Sci-Fi', 'Thriller']","[1, 11, 15, 16]",1970,5
183,Army of Darkness (1993),"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi']","[1, 2, 5, 11, 15]",1990,7
184,Psycho (1960),"['Horror', 'Romance', 'Thriller']","[11, 14, 16]",1960,4
185,"Blues Brothers, The (1980)","['Action', 'Comedy', 'Musical']","[1, 5, 12]",1980,6
186,"Godfather: Part II, The (1974)","['Action', 'Crime', 'Drama']","[1, 6, 8]",1970,5
187,Full Metal Jacket (1987),"['Action', 'Drama', 'War']","[1, 8, 17]",1980,6
188,"Grand Day Out, A (1992)","['Animation', 'Comedy']","[3, 5]",1990,7
189,Henry V (1989),"['Drama', 'War']","[8, 17]",1980,6
190,Amadeus (1984),"['Drama', 'Mystery']","[8, 13]",1980,6
191,Raging Bull (1980),['Drama'],[8],1980,6
192,"Right Stuff, The (1983)",['Drama'],[8],1980,6
193,"Sting, The (1973)","['Comedy', 'Crime']","[5, 6]",1970,5
194,"Terminator, The (1984)","['Action', 'Sci-Fi', 'Thriller']","[1, 15, 16]",1980,6
195,Dead Poets Society (1989),['Drama'],[8],1980,6
196,"Graduate, The (1967)","['Drama', 'Romance']","[8, 14]",1960,4
197,Nikita (La Femme Nikita) (1990),['Thriller'],[16],1990,7
198,"Bridge on the River Kwai, The (1957)","['Drama', 'War']","[8, 17]",1950,3
199,"Shining, The (1980)",['Horror'],[11],1980,6
200,Evil Dead II (1987),"['Action', 'Adventure', 'Comedy', 'Horror']","[1, 2, 5, 11]",1980,6
201,Groundhog Day (1993),"['Comedy', 'Romance']","[5, 14]",1990,7
202,Unforgiven (1992),['Western'],[18],1990,7
203,Back to the Future (1985),"['Comedy', 'Sci-Fi']","[5, 15]",1980,6
204,Patton (1970),"['Drama', 'War']","[8, 17]",1970,5
205,Akira (1988),"['Adventure', 'Animation', 'Sci-Fi', 'Thriller']","[2, 3, 15, 16]",1980,6
206,Cyrano de Bergerac (1990),"['Action', 'Drama', 'Romance']","[1, 8, 14]",1990,7
207,Young Frankenstein (1974),"['Comedy', 'Horror']","[5, 11]",1970,5
208,This Is Spinal Tap (1984),"['Comedy', 'Drama', 'Musical']","[5, 8, 12]",1980,6
209,Indiana Jones and the Last Crusade (1989),"['Action', 'Adventure']","[1, 2]",1980,6
210,M*A*S*H (1970),"['Comedy', 'War']","[5, 17]",1970,5
211,"Unbearable Lightness of Being, The (1988)",['Drama'],[8],1980,6
212,"Room with a View, A (1986)","['Drama', 'Romance']","[8, 14]",1980,6
213,Pink Floyd - The Wall (1982),"['Drama', 'Musical', 'War']","[8, 12, 17]",1980,6
214,Field of Dreams (1989),['Drama'],[8],1980,6
215,When Harry Met Sally... (1989),"['Comedy', 'Romance']","[5, 14]",1980,6
216,Bram Stoker's Dracula (1992),"['Horror', 'Romance']","[11, 14]",1990,7
217,Cape Fear (1991),['Thriller'],[16],1990,7
218,"Nightmare on Elm Street, A (1984)",['Horror'],[11],1980,6
219,"Mirror Has Two Faces, The (1996)","['Comedy', 'Romance']","[5, 14]",1990,7
220,Breaking the Waves (1996),['Drama'],[8],1990,7
221,Star Trek: First Contact (1996),"['Action', 'Adventure', 'Sci-Fi']","[1, 2, 15]",1990,7
222,Sling Blade (1996),"['Drama', 'Thriller']","[8, 16]",1990,7
223,Ridicule (1996),['Drama'],[8],1990,7
224,101 Dalmatians (1996),"[""Children's"", 'Comedy']","[4, 5]",1990,7
225,Die Hard 2 (1990),"['Action', 'Thriller']","[1, 16]",1990,7
226,Star Trek VI: The Undiscovered Country (1991),"['Action', 'Adventure', 'Sci-Fi']","[1, 2, 15]",1990,7
227,Star Trek: The Wrath of Khan (1982),"['Action', 'Adventure', 'Sci-Fi']","[1, 2, 15]",1980,6
228,Star Trek III: The Search for Spock (1984),"['Action', 'Adventure', 'Sci-Fi']","[1, 2, 15]",1980,6
229,Star Trek IV: The Voyage Home (1986),"['Action', 'Adventure', 'Sci-Fi']","[1, 2, 15]",1980,6
230,Batman Returns (1992),"['Action', 'Adventure', 'Comedy', 'Crime']","[1, 2, 5, 6]",1990,7
231,Young Guns (1988),"['Action', 'Comedy', 'Western']","[1, 5, 18]",1980,6
232,Under Siege (1992),['Action'],[1],1990,7
233,Jaws (1975),"['Action', 'Horror']","[1, 11]",1970,5
234,Mars Attacks! (1996),"['Action', 'Comedy', 'Sci-Fi', 'War']","[1, 5, 15, 17]",1990,7
235,Citizen Ruth (1996),"['Comedy', 'Drama']","[5, 8]",1990,7
236,Jerry Maguire (1996),"['Drama', 'Romance']","[8, 14]",1990,7
237,Raising Arizona (1987),['Comedy'],[5],1980,6
238,Sneakers (1992),"['Crime', 'Drama', 'Sci-Fi']","[6, 8, 15]",1990,7
239,Beavis and Butt-head Do America (1996),"['Animation', 'Comedy']","[3, 5]",1990,7
240,"Last of the Mohicans, The (1992)","['Action', 'Romance', 'War']","[1, 14, 17]",1990,7
241,Kolya (1996),['Comedy'],[5],1990,7
242,Jungle2Jungle (1997),"[""Children's"", 'Comedy']","[4, 5]",1990,7
243,Smilla's Sense of Snow (1997),"['Action', 'Drama', 'Thriller']","[1, 8, 16]",1990,7
244,"Devil's Own, The (1997)","['Action', 'Drama', 'Thriller', 'War']","[1, 8, 16, 17]",1990,7
245,Chasing Amy (1997),"['Drama', 'Romance']","[8, 14]",1990,7
246,Turbo: A Power Rangers Movie (1997),"['Action', 'Adventure', ""Children's""]","[1, 2, 4]",1990,7
247,Grosse Pointe Blank (1997),"['Comedy', 'Crime']","[5, 6]",1990,7
248,Austin Powers: International Man of Mystery (1997),['Comedy'],[5],1990,7
249,"Fifth Element, The (1997)","['Action', 'Sci-Fi']","[1, 15]",1990,7
250,Shall We Dance? (1996),['Comedy'],[5],1990,7
251,"Lost World: Jurassic Park, The (1997)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']","[1, 2, 15, 16]",1990,7
252,"Pillow Book, The (1995)","['Drama', 'Romance']","[8, 14]",1990,7
253,Batman & Robin (1997),"['Action', 'Adventure', 'Crime']","[1, 2, 6]",1990,7
254,My Best Friend's Wedding (1997),"['Comedy', 'Romance']","[5, 14]",1990,7
255,When the Cats Away (Chacun cherche son chat) (1996),"['Comedy', 'Romance']","[5, 14]",1990,7
256,Men in Black (1997),"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","[1, 2, 5, 15]",1990,7
257,Contact (1997),"['Drama', 'Sci-Fi']","[8, 15]",1990,7
258,George of the Jungle (1997),"[""Children's"", 'Comedy']","[4, 5]",1990,7
259,Event Horizon (1997),"['Action', 'Mystery', 'Sci-Fi', 'Thriller']","[1, 13, 15, 16]",1990,7
260,Air Bud (1997),"[""Children's"", 'Comedy']","[4, 5]",1990,7
261,In the Company of Men (1997),['Drama'],[8],1990,7
262,Steel (1997),['Action'],[1],1990,7
263,Mimic (1997),"['Sci-Fi', 'Thriller']","[15, 16]",1990,7
264,"Hunt for Red October, The (1990)","['Action', 'Thriller']","[1, 16]",1990,7
265,Kull the Conqueror (1997),"['Action', 'Adventure']","[1, 2]",1990,7
266,unknown,['unknown'],[0],1980,6
267,Chasing Amy (1997),"['Drama', 'Romance']","[8, 14]",1990,7
268,"Full Monty, The (1997)",['Comedy'],[5],1990,7
269,Gattaca (1997),"['Drama', 'Sci-Fi', 'Thriller']","[8, 15, 16]",1990,7
270,Starship Troopers (1997),"['Action', 'Adventure', 'Sci-Fi', 'War']","[1, 2, 15, 17]",1990,7
271,Good Will Hunting (1997),['Drama'],[8],1990,7
272,Heat (1995),"['Action', 'Crime', 'Thriller']","[1, 6, 16]",1990,7
273,Sabrina (1995),"['Comedy', 'Romance']","[5, 14]",1990,7
274,Sense and Sensibility (1995),"['Drama', 'Romance']","[8, 14]",1990,7
275,Leaving Las Vegas (1995),"['Drama', 'Romance']","[8, 14]",1990,7
276,Restoration (1995),['Drama'],[8],1990,7
277,Bed of Roses (1996),"['Drama', 'Romance']","[8, 14]",1990,7
278,Once Upon a Time... When We Were Colored (1995),['Drama'],[8],1990,7
279,Up Close and Personal (1996),"['Drama', 'Romance']","[8, 14]",1990,7
280,"River Wild, The (1994)","['Action', 'Thriller']","[1, 16]",1990,7
281,"Time to Kill, A (1996)",['Drama'],[8],1990,7
282,Emma (1996),"['Drama', 'Romance']","[8, 14]",1990,7
283,Tin Cup (1996),"['Comedy', 'Romance']","[5, 14]",1990,7
284,Secrets & Lies (1996),['Drama'],[8],1990,7
285,"English Patient, The (1996)","['Drama', 'Romance', 'War']","[8, 14, 17]",1990,7
286,Marvin's Room (1996),['Drama'],[8],1990,7
287,Scream (1996),"['Horror', 'Thriller']","[11, 16]",1990,7
288,Evita (1996),"['Drama', 'Musical']","[8, 12]",1990,7
289,Fierce Creatures (1997),['Comedy'],[5],1990,7
290,Absolute Power (1997),"['Mystery', 'Thriller']","[13, 16]",1990,7
291,Rosewood (1997),['Drama'],[8],1990,7
292,Donnie Brasco (1997),"['Crime', 'Drama']","[6, 8]",1990,7
293,Liar Liar (1997),['Comedy'],[5],1990,7
294,Breakdown (1997),"['Action', 'Thriller']","[1, 16]",1990,7
295,"Promesse, La (1996)",['Drama'],[8],1990,7
296,Ulee's Gold (1997),['Drama'],[8],1990,7
297,Face/Off (1997),"['Action', 'Sci-Fi', 'Thriller']","[1, 15, 16]",1990,7
298,Hoodlum (1997),"['Crime', 'Drama', 'Film-Noir']","[6, 8, 10]",1990,7
299,Air Force One (1997),"['Action', 'Thriller']","[1, 16]",1990,7
300,In & Out (1997),['Comedy'],[5],1990,7
301,L.A. Confidential (1997),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']","[6, 10, 13, 16]",1990,7
302,Ulee's Gold (1997),['Drama'],[8],1990,7
303,Fly Away Home (1996),"['Adventure', ""Children's""]","[2, 4]",1990,7
304,"Ice Storm, The (1997)",['Drama'],[8],1990,7
305,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","['Drama', 'Romance']","[8, 14]",1990,7
306,"Devil's Advocate, The (1997)","['Crime', 'Horror', 'Mystery', 'Thriller']","[6, 11, 13, 16]",1990,7
307,FairyTale: A True Story (1997),"[""Children's"", 'Drama', 'Fantasy']","[4, 8, 9]",1990,7
308,Deceiver (1997),['Crime'],[6],1990,7
309,"Rainmaker, The (1997)",['Drama'],[8],1990,7
310,"Wings of the Dove, The (1997)","['Drama', 'Romance', 'Thriller']","[8, 14, 16]",1990,7
311,Midnight in the Garden of Good and Evil (1997),"['Comedy', 'Crime', 'Drama', 'Mystery']","[5, 6, 8, 13]",1990,7
312,Titanic (1997),"['Action', 'Drama', 'Romance']","[1, 8, 14]",1990,7
313,3 Ninjas: High Noon At Mega Mountain (1998),"['Action', ""Children's""]","[1, 4]",1990,7
314,Apt Pupil (1998),"['Drama', 'Thriller']","[8, 16]",1990,7
315,As Good As It Gets (1997),"['Comedy', 'Drama']","[5, 8]",1990,7
316,In the Name of the Father (1993),['Drama'],[8],1990,7
317,Schindler's List (1993),"['Drama', 'War']","[8, 17]",1990,7
318,Everyone Says I Love You (1996),"['Comedy', 'Musical', 'Romance']","[5, 12, 14]",1990,7
319,Paradise Lost: The Child Murders at Robin Hood Hills (1996),['Documentary'],[7],1990,7
320,Mother (1996),['Comedy'],[5],1990,7
321,Murder at 1600 (1997),"['Mystery', 'Thriller']","[13, 16]",1990,7
322,Dante's Peak (1997),"['Action', 'Thriller']","[1, 16]",1990,7
323,Lost Highway (1997),['Mystery'],[13],1990,7
324,Crash (1996),"['Drama', 'Thriller']","[8, 16]",1990,7
325,G.I. Jane (1997),"['Action', 'Drama', 'War']","[1, 8, 17]",1990,7
326,Cop Land (1997),"['Crime', 'Drama', 'Mystery']","[6, 8, 13]",1990,7
327,Conspiracy Theory (1997),"['Action', 'Mystery', 'Romance', 'Thriller']","[1, 13, 14, 16]",1990,7
328,Desperate Measures (1998),"['Crime', 'Drama', 'Thriller']","[6, 8, 16]",1990,7
329,187 (1997),['Drama'],[8],1990,7
330,"Edge, The (1997)","['Adventure', 'Thriller']","[2, 16]",1990,7
331,Kiss the Girls (1997),"['Crime', 'Drama', 'Thriller']","[6, 8, 16]",1990,7
332,"Game, The (1997)","['Mystery', 'Thriller']","[13, 16]",1990,7
333,U Turn (1997),"['Action', 'Crime', 'Mystery']","[1, 6, 13]",1990,7
334,How to Be a Player (1997),['Comedy'],[5],1990,7
335,Playing God (1997),"['Crime', 'Thriller']","[6, 16]",1990,7
336,"House of Yes, The (1997)","['Comedy', 'Drama', 'Thriller']","[5, 8, 16]",1990,7
337,Bean (1997),['Comedy'],[5],1990,7
338,Mad City (1997),"['Action', 'Drama']","[1, 8]",1990,7
