user_id,gender,occupation,decades_lived,gender_enc,occupation_enc,decades_lived_enc
178,M,entertainment,10,1,5,1
179,F,administrator,20,0,0,2
180,M,executive,20,1,6,2
181,M,programmer,30,1,14,3
182,M,scientist,30,1,17,3
183,M,librarian,30,1,10,3
184,F,librarian,50,0,10,5
185,F,executive,30,0,6,3
186,M,educator,20,1,3,2
187,M,student,40,1,18,4
188,M,artist,30,1,1,3
189,M,administrator,30,1,0,3
190,M,administrator,30,1,0,3
191,M,educator,40,1,3,4
192,M,student,20,1,18,2
193,M,administrator,30,1,0,3
194,M,scientist,40,1,17,4
195,M,writer,40,1,20,4
196,M,technician,50,1,19,5
197,F,student,20,0,18,2
198,M,writer,30,1,20,3
199,M,programmer,40,1,14,4
200,M,writer,20,1,20,2
201,F,educator,40,0,3,4
202,F,student,20,0,18,2
203,F,librarian,50,0,10,5
204,M,lawyer,40,1,9,4
205,F,student,10,0,18,1
206,M,marketing,30,1,11,3
207,M,engineer,40,1,4,4
208,F,educator,30,0,3,3
209,M,engineer,30,1,4,3
210,M,salesman,60,1,16,6
211,F,educator,40,0,3,4
212,M,executive,30,1,6,3
213,F,librarian,20,0,10,2
214,M,programmer,30,1,14,3
215,M,engineer,20,1,4,2
216,M,other,20,1,13,2
217,M,administrator,30,1,0,3
218,M,programmer,30,1,14,3
219,M,librarian,30,1,10,3
220,M,student,10,1,18,1
221,M,programmer,20,1,14,2
222,F,student,10,0,18,1
223,F,educator,30,0,3,3
224,F,administrator,50,0,0,5
225,M,student,20,1,18,2
226,M,executive,40,1,6,4
227,F,student,20,0,18,2
228,F,librarian,20,0,10,2
229,F,student,20,0,18,2
230,M,librarian,40,1,10,4
231,M,scientist,40,1,17,4
232,M,engineer,30,1,4,3
233,M,retired,60,1,15,6
234,M,educator,30,1,3,3
235,F,writer,40,0,20,4
236,M,administrator,40,1,0,4
237,F,administrator,40,0,0,4
238,M,artist,30,1,1,3
239,F,educator,20,0,3,2
240,F,student,20,0,18,2
241,M,educator,30,1,3,3
242,M,educator,30,1,3,3
243,M,technician,20,1,19,2
244,M,student,20,1,18,2
245,M,student,10,1,18,1
246,M,engineer,20,1,4,2
247,M,student,20,1,18,2
248,M,student,20,1,18,2
249,M,executive,20,1,6,2
250,M,doctor,20,1,2,2
251,M,engineer,40,1,4,4
252,F,librarian,20,0,10,2
253,M,educator,40,1,3,4
254,M,entertainment,20,1,5,2
255,F,none,30,0,12,3
256,M,student,10,1,18,1
257,F,student,10,0,18,1
258,M,student,20,1,18,2
259,F,artist,40,0,1,4
260,M,administrator,20,1,0,2
261,F,student,10,0,18,1
262,M,programmer,40,1,14,4
263,F,writer,30,0,20,3
264,M,executive,20,1,6,2
265,F,administrator,60,0,0,6
266,M,engineer,20,1,4,2
267,M,engineer,20,1,4,2
268,F,librarian,30,0,10,3
269,F,student,10,0,18,1
270,M,engineer,50,1,4,5
271,M,scientist,30,1,17,3
272,F,other,50,0,13,5
273,F,student,20,0,18,2
274,M,engineer,30,1,4,3
275,M,student,20,1,18,2
276,F,administrator,30,0,0,3
277,F,librarian,30,0,10,3
278,M,programmer,30,1,14,3
279,F,librarian,30,0,10,3
280,F,student,10,0,18,1
281,M,administrator,20,1,0,2
282,M,programmer,20,1,14,2
283,M,executive,40,1,6,4
284,M,programmer,20,1,14,2
285,M,student,20,1,18,2
286,M,salesman,20,1,16,2
287,M,marketing,30,1,11,3
288,M,none,10,1,12,1
289,M,engineer,40,1,4,4
290,M,student,10,1,18,1
291,F,programmer,30,0,14,3
292,M,writer,20,1,20,2
293,M,technician,30,1,19,3
294,M,educator,30,1,3,3
295,F,administrator,40,0,0,4
296,F,educator,20,0,3,2
297,M,executive,40,1,6,4
298,M,doctor,20,1,2,2
299,F,programmer,20,0,14,2
300,M,student,20,1,18,2
301,M,educator,40,1,3,4
302,M,student,10,1,18,1
303,F,student,20,0,18,2
304,M,programmer,20,1,14,2
305,M,other,40,1,13,4
306,M,student,20,1,18,2
307,M,retired,60,1,15,6
308,M,scientist,40,1,17,4
309,M,educator,30,1,3,3
310,M,technician,30,1,19,3
311,M,other,40,1,13,4
312,M,marketing,40,1,11,4
313,F,student,20,0,18,2
314,M,educator,30,1,3,3
315,F,other,40,0,13,4
316,M,administrator,20,1,0,2
317,M,retired,60,1,15,6
318,M,programmer,30,1,14,3
319,M,student,10,1,18,1
320,F,educator,40,0,3,4
321,M,student,20,1,18,2
322,M,student,20,1,18,2
323,F,student,20,0,18,2
324,M,technician,40,1,19,4
325,M,administrator,40,1,0,4
326,M,student,20,1,18,2
327,M,administrator,50,1,0,5
328,M,educator,40,1,3,4
329,F,educator,30,0,3,3
330,M,entertainment,30,1,5,3
331,M,student,20,1,18,2
332,M,other,40,1,13,4
333,M,librarian,30,1,10,3
334,M,executive,40,1,6,4
335,M,salesman,20,1,16,2
336,M,scientist,30,1,17,3
337,F,librarian,30,0,10,3
338,M,lawyer,30,1,9,3
339,M,engineer,40,1,4,4
340,F,student,10,0,18,1
341,F,other,20,0,13,2
342,M,engineer,40,1,4,4
343,F,librarian,30,0,10,3
344,F,librarian,20,0,10,2
345,M,other,30,1,13,3
346,M,student,10,1,18,1
347,F,student,20,0,18,2
348,M,retired,60,1,15,6
349,M,student,30,1,18,3
350,M,educator,60,1,3,6
351,F,programmer,30,0,14,3
352,M,scientist,20,1,17,2
353,F,librarian,20,0,10,2
354,M,student,20,1,18,2
355,F,homemaker,30,0,8,3
356,M,executive,20,1,6,2
357,M,educator,40,1,3,4
358,M,student,20,1,18,2
359,M,other,50,1,13,5
360,M,student,20,1,18,2
361,F,homemaker,30,0,8,3
362,M,student,20,1,18,2
363,M,engineer,60,1,4,6
364,M,lawyer,20,1,9,2
365,F,student,20,0,18,2
366,M,student,10,1,18,1
367,M,student,10,1,18,1
368,M,student,20,1,18,2
369,M,writer,50,1,20,5
370,M,engineer,30,1,4,3
371,F,student,20,0,18,2
372,F,other,20,0,13,2
373,M,executive,30,1,6,3
374,M,entertainment,10,1,5,1
375,F,other,20,0,13,2
376,M,student,20,1,18,2
377,M,student,30,1,18,3
378,M,programmer,40,1,14,4
379,M,engineer,30,1,4,3
380,M,artist,30,1,1,3
381,M,engineer,40,1,4,4
382,M,administrator,40,1,0,4
383,M,programmer,50,1,14,5
384,M,writer,30,1,20,3
385,M,salesman,30,1,16,3
386,M,entertainment,30,1,5,3
387,M,other,30,1,13,3
388,F,writer,40,0,20,4
389,F,writer,40,0,20,4
390,M,student,20,1,18,2
391,M,writer,50,1,20,5
392,M,student,10,1,18,1
393,M,administrator,20,1,0,2
394,M,other,40,1,13,4
395,M,engineer,50,1,4,5
396,M,student,10,1,18,1
397,M,other,40,1,13,4
398,M,other,20,1,13,2
399,F,administrator,30,0,0,3
400,F,healthcare,40,0,7,4
401,M,engineer,30,1,4,3
402,M,other,30,1,13,3
403,F,programmer,20,0,14,2
404,F,healthcare,20,0,7,2
405,M,educator,50,1,3,5
406,M,engineer,20,1,4,2
407,M,student,20,1,18,2
408,M,administrator,40,1,0,4
409,F,artist,30,0,1,3
410,M,educator,30,1,3,3
411,M,educator,20,1,3,2
412,M,educator,50,1,3,5
413,M,programmer,20,1,14,2
414,M,educator,30,1,3,3
415,F,student,20,0,18,2
416,F,other,20,0,13,2
417,F,none,50,0,12,5
418,M,lawyer,30,1,9,3
419,M,educator,50,1,3,5
420,F,programmer,30,0,14,3
421,M,entertainment,20,1,5,2
422,M,other,60,1,13,6
423,F,marketing,30,0,11,3
424,M,student,10,1,18,1
425,M,educator,50,1,3,5
426,M,doctor,50,1,2,5
427,M,student,20,1,18,2
428,M,student,20,1,18,2
429,M,scientist,30,1,17,3
430,M,marketing,20,1,11,2
431,M,entertainment,20,1,5,2
432,M,artist,20,1,1,2
433,F,student,10,0,18,1
434,M,engineer,20,1,4,2
435,F,administrator,30,0,0,3
436,F,other,20,0,13,2
437,F,administrator,50,0,0,5
438,F,administrator,20,0,0,2
439,M,other,30,1,13,3
440,M,technician,50,1,19,5
441,M,student,20,1,18,2
442,M,salesman,30,1,16,3
443,F,lawyer,50,0,9,5
444,M,writer,20,1,20,2
445,M,educator,50,1,3,5
446,M,administrator,30,1,0,3
447,M,entertainment,20,1,5,2
448,M,librarian,20,1,10,2
449,F,educator,30,0,3,3
450,M,student,10,1,18,1
451,M,administrator,30,1,0,3
452,M,student,10,1,18,1
453,M,other,50,1,13,5
454,M,administrator,40,1,0,4
455,M,technician,20,1,19,2
456,F,salesman,30,0,16,3
457,M,technician,40,1,19,4
458,M,student,20,1,18,2
459,F,other,40,0,13,4
460,M,student,10,1,18,1
461,F,student,10,0,18,1
462,F,healthcare,40,0,7,4
463,M,writer,60,1,20,6
464,M,other,30,1,13,3
465,M,student,20,1,18,2
466,M,engineer,20,1,4,2
467,M,engineer,20,1,4,2
468,M,educator,60,1,3,6
469,M,programmer,20,1,14,2
470,M,student,10,1,18,1
471,M,student,20,1,18,2
472,M,student,20,1,18,2
473,M,executive,50,1,6,5
474,M,programmer,30,1,14,3
475,M,student,20,1,18,2
476,F,student,20,0,18,2
477,M,other,20,1,13,2
478,M,educator,30,1,3,3
479,M,retired,50,1,15,5
480,M,retired,70,1,15,7
481,F,student,10,0,18,1
482,M,scientist,20,1,17,2
483,M,student,20,1,18,2
484,F,educator,40,0,3,4
485,M,educator,30,1,3,3
486,M,engineer,20,1,4,2
487,M,technician,40,1,19,4
488,M,other,50,1,13,5
489,F,artist,20,0,1,2
490,F,writer,40,0,20,4
491,M,educator,50,1,3,5
492,M,engineer,20,1,4,2
493,F,administrator,30,0,0,3
494,M,engineer,20,1,4,2
495,F,student,20,0,18,2
496,M,student,20,1,18,2
497,M,writer,20,1,20,2
498,M,programmer,40,1,14,4
499,M,administrator,20,1,0,2
500,M,student,20,1,18,2
501,M,student,20,1,18,2
502,F,writer,50,0,20,5
503,F,writer,40,0,20,4
504,F,other,20,0,13,2
505,M,programmer,40,1,14,4
506,F,writer,10,0,20,1
507,M,marketing,20,1,11,2
508,M,administrator,20,1,0,2
509,M,other,30,1,13,3
510,M,student,20,1,18,2
511,M,other,20,1,13,2
512,M,administrator,40,1,0,4
513,M,programmer,20,1,14,2
514,M,marketing,50,1,11,5
515,F,librarian,50,0,10,5
516,M,student,20,1,18,2
517,F,writer,40,0,20,4
518,M,other,20,1,13,2
519,M,healthcare,60,1,7,6
520,M,student,10,1,18,1
521,M,engineer,30,1,4,3
522,F,administrator,50,0,0,5
523,M,educator,50,1,3,5
524,F,administrator,20,0,0,2
525,M,marketing,30,1,11,3
526,M,librarian,30,1,10,3
527,M,student,10,1,18,1
528,F,administrator,40,0,0,4
529,M,engineer,20,1,4,2
530,F,salesman,30,0,16,3
531,M,student,20,1,18,2
532,M,librarian,40,1,10,4
533,M,student,20,1,18,2
534,F,educator,40,0,3,4
535,M,engineer,30,1,4,3
536,M,engineer,30,1,4,3
537,M,scientist,30,1,17,3
538,F,administrator,50,0,0,5
539,M,engineer,20,1,4,2
540,F,student,10,0,18,1
541,M,student,20,1,18,2
542,M,scientist,30,1,17,3
543,F,other,40,0,13,4
544,M,technician,20,1,19,2
545,M,executive,30,1,6,3
546,M,educator,50,1,3,5
547,M,writer,50,1,20,5
548,M,scientist,40,1,17,4
549,F,student,10,0,18,1
550,M,programmer,20,1,14,2
551,M,other,40,1,13,4
552,M,educator,50,1,3,5
553,M,scientist,30,1,17,3
554,F,educator,20,0,3,2
555,F,educator,30,0,3,3
556,F,writer,30,0,20,3
557,F,writer,50,0,20,5
558,M,executive,60,1,6,6
559,M,student,30,1,18,3
560,M,engineer,20,1,4,2
561,F,administrator,50,0,0,5
562,F,librarian,30,0,10,3
563,M,retired,60,1,15,6
564,M,student,40,1,18,4
565,M,student,20,1,18,2
566,M,entertainment,20,1,5,2
567,M,educator,30,1,3,3
568,M,educator,30,1,3,3
569,M,educator,20,1,3,2
570,M,artist,30,1,1,3
571,M,educator,50,1,3,5
572,M,retired,60,1,15,6
573,M,educator,50,1,3,5
574,M,marketing,30,1,11,3
575,M,executive,40,1,6,4
576,F,student,30,0,18,3
577,M,administrator,30,1,0,3
578,M,educator,30,1,3,3
579,M,student,10,1,18,1
580,M,other,30,1,13,3
581,M,student,10,1,18,1
582,M,engineer,40,1,4,4
583,M,student,20,1,18,2
584,M,librarian,60,1,10,6
585,M,student,20,1,18,2
586,M,other,20,1,13,2
587,F,student,10,0,18,1
588,M,lawyer,20,1,9,2
589,M,educator,50,1,3,5
590,F,librarian,50,0,10,5
591,M,student,10,1,18,1
592,F,educator,30,0,3,3
593,M,educator,40,1,3,4
594,M,programmer,20,1,14,2
595,M,artist,20,1,1,2
596,M,other,20,1,13,2
597,F,marketing,40,0,11,4
598,F,student,20,0,18,2
599,M,programmer,30,1,14,3
600,F,artist,10,0,1,1
601,F,other,40,0,13,4
602,M,programmer,20,1,14,2
603,M,educator,30,1,3,3
604,M,engineer,30,1,4,3
605,M,programmer,20,1,14,2
606,F,healthcare,40,0,7,4
607,M,other,20,1,13,2
608,F,student,10,0,18,1
609,M,student,20,1,18,2
610,M,librarian,40,1,10,4
611,M,educator,30,1,3,3
612,F,marketing,30,0,11,3
613,M,educator,50,1,3,5
614,M,educator,30,1,3,3
615,M,scientist,50,1,17,5
616,F,writer,20,0,20,2
617,F,student,10,0,18,1
618,M,student,10,1,18,1
619,F,writer,10,0,20,1
620,M,student,10,1,18,1
621,M,programmer,20,1,14,2
622,F,educator,50,0,3,5
623,M,student,10,1,18,1
624,M,programmer,20,1,14,2
625,M,scientist,20,1,17,2
626,M,engineer,20,1,4,2
627,M,none,10,1,12,1
628,F,other,40,0,13,4
629,F,healthcare,20,0,7,2
630,F,student,10,0,18,1
631,M,student,10,1,18,1
632,M,programmer,30,1,14,3
633,M,engineer,30,1,4,3
634,M,other,20,1,13,2
635,M,educator,40,1,3,4
636,M,other,30,1,13,3
637,M,engineer,40,1,4,4
638,F,librarian,40,0,10,4
639,M,student,20,1,18,2
640,M,student,20,1,18,2
641,F,student,10,0,18,1
642,M,scientist,30,1,17,3
643,M,retired,50,1,15,5
644,M,programmer,20,1,14,2
645,F,student,10,0,18,1
646,M,educator,40,1,3,4
647,M,engineer,40,1,4,4
648,M,student,20,1,18,2
649,M,engineer,40,1,4,4
650,M,retired,60,1,15,6
651,M,other,30,1,13,3
652,M,executive,30,1,6,3
653,F,student,20,0,18,2
654,F,healthcare,50,0,7,5
655,M,educator,40,1,3,4
656,F,none,20,0,12,2
657,M,programmer,30,1,14,3
658,M,educator,30,1,3,3
659,M,student,20,1,18,2
660,M,programmer,20,1,14,2
661,M,librarian,50,1,10,5
662,M,other,20,1,13,2
663,M,engineer,30,1,4,3
664,M,administrator,20,1,0,2
665,M,administrator,40,1,0,4
666,M,librarian,30,1,10,3
667,F,writer,20,0,20,2
668,M,other,30,1,13,3
669,M,technician,30,1,19,3
670,M,programmer,20,1,14,2
671,F,administrator,50,0,0,5
672,M,educator,50,1,3,5
673,F,student,10,0,18,1
674,M,other,30,1,13,3
675,M,programmer,30,1,14,3
676,M,other,20,1,13,2
677,M,educator,50,1,3,5
678,F,student,20,0,18,2
679,M,lawyer,30,1,9,3
680,F,marketing,40,0,11,4
681,M,programmer,20,1,14,2
682,M,librarian,40,1,10,4
683,M,student,20,1,18,2
684,F,librarian,30,0,10,3
685,M,educator,30,1,3,3
686,F,healthcare,30,0,7,3
687,F,administrator,30,0,0,3
688,M,other,20,1,13,2
689,M,salesman,30,1,16,3
690,M,educator,30,1,3,3
691,M,engineer,30,1,4,3
692,F,healthcare,40,0,7,4
693,M,programmer,60,1,14,6
694,M,writer,20,1,20,2
695,M,other,50,1,13,5
696,M,other,20,1,13,2
697,F,programmer,20,0,14,2
698,M,other,40,1,13,4
699,M,student,10,1,18,1
700,F,librarian,50,0,10,5
701,M,other,30,1,13,3
702,M,educator,20,1,3,2
703,F,librarian,50,0,10,5
704,F,student,20,0,18,2
705,M,student,20,1,18,2
706,F,librarian,50,0,10,5
707,F,homemaker,20,0,8,2
708,M,other,20,1,13,2
709,M,student,10,1,18,1
710,F,student,20,0,18,2
711,F,student,20,0,18,2
712,F,other,40,0,13,4
713,M,engineer,20,1,4,2
714,M,technician,20,1,19,2
715,F,administrator,30,0,0,3
716,M,technician,20,1,19,2
717,M,technician,40,1,19,4
718,F,other,30,0,13,3
719,F,administrator,40,0,0,4
720,F,entertainment,20,0,5,2
721,F,homemaker,50,0,8,5
722,M,executive,20,1,6,2
723,M,executive,30,1,6,3
724,M,student,20,1,18,2
725,F,administrator,20,0,0,2
726,M,student,20,1,18,2
727,M,executive,50,1,6,5
728,M,student,10,1,18,1
729,F,scientist,30,0,17,3
730,F,educator,40,0,3,4
731,F,other,20,0,13,2
732,F,other,40,0,13,4
733,F,other,20,0,13,2
734,F,healthcare,20,0,7,2
735,F,writer,40,0,20,4
736,M,programmer,30,1,14,3
737,M,technician,30,1,19,3
738,M,technician,30,1,19,3
739,F,educator,20,0,3,2
740,M,writer,20,1,20,2
741,M,student,30,1,18,3
742,M,programmer,30,1,14,3
743,M,marketing,30,1,11,3
744,M,writer,40,1,20,4
745,M,engineer,20,1,4,2
746,M,other,10,1,13,1
747,M,administrator,20,1,0,2
748,M,other,30,1,13,3
749,M,administrator,20,1,0,2
750,F,other,20,0,13,2
751,M,retired,60,1,15,6
752,M,salesman,50,1,16,5
753,F,librarian,50,0,10,5
754,F,educator,40,0,3,4
755,F,none,30,0,12,3
756,M,student,20,1,18,2
757,M,student,20,1,18,2
758,F,student,20,0,18,2
759,F,other,30,0,13,3
760,M,student,10,1,18,1
761,M,administrator,30,1,0,3
762,M,scientist,20,1,17,2
763,F,educator,20,0,3,2
764,M,student,30,1,18,3
765,M,other,40,1,13,4
766,M,engineer,70,1,4,7
767,M,administrator,20,1,0,2
768,M,executive,30,1,6,3
769,M,student,20,1,18,2
770,M,student,20,1,18,2
771,M,writer,50,1,20,5
772,M,student,20,1,18,2
773,M,student,30,1,18,3
774,M,executive,40,1,6,4
775,M,librarian,30,1,10,3
776,M,programmer,60,1,14,6
777,M,student,30,1,18,3
778,M,student,30,1,18,3
779,M,programmer,40,1,14,4
780,M,student,20,1,18,2
781,F,artist,20,0,1,2
782,M,marketing,30,1,11,3
783,M,administrator,40,1,0,4
784,M,engineer,30,1,4,3
785,F,engineer,30,0,4,3
786,F,student,10,0,18,1
787,M,administrator,50,1,0,5
788,M,other,20,1,13,2
789,M,technician,20,1,19,2
790,M,educator,30,1,3,3
791,M,programmer,40,1,14,4
792,M,student,20,1,18,2
793,M,educator,30,1,3,3
794,M,programmer,30,1,14,3
795,F,writer,30,0,20,3
796,F,other,40,0,13,4
797,F,writer,40,0,20,4
798,F,administrator,40,0,0,4
799,M,programmer,20,1,14,2
800,M,writer,20,1,20,2
801,M,administrator,30,1,0,3
802,M,administrator,70,1,0,7
803,M,educator,30,1,3,3
804,F,other,20,0,13,2
805,M,marketing,20,1,11,2
806,F,healthcare,40,0,7,4
807,M,salesman,40,1,16,4
808,F,marketing,50,0,11,5
809,F,other,50,0,13,5
810,F,educator,40,0,3,4
811,M,technician,20,1,19,2
812,F,student,10,0,18,1
813,M,other,30,1,13,3
814,M,other,30,1,13,3
815,M,other,30,1,13,3
816,M,student,10,1,18,1
817,M,librarian,20,1,10,2
818,M,administrator,50,1,0,5
819,M,student,20,1,18,2
820,M,engineer,30,1,4,3
821,F,librarian,20,0,10,2
822,M,artist,20,1,1,2
823,M,other,30,1,13,3
824,M,engineer,40,1,4,4
825,M,artist,20,1,1,2
826,F,engineer,20,0,4,2
827,M,librarian,20,1,10,2
828,M,writer,40,1,20,4
829,M,programmer,40,1,14,4
830,M,other,20,1,13,2
831,M,technician,20,1,19,2
832,M,writer,30,1,20,3
833,M,other,20,1,13,2
834,F,executive,40,0,6,4
835,M,artist,40,1,1,4
836,F,artist,30,0,1,3
837,M,student,20,1,18,2
838,F,entertainment,30,0,5,3
839,M,artist,30,1,1,3
840,M,doctor,40,1,2,4
841,M,writer,40,1,20,4
842,M,librarian,30,1,10,3
843,M,engineer,20,1,4,2
844,M,doctor,60,1,2,6
845,M,lawyer,20,1,9,2
846,M,student,20,1,18,2
847,M,engineer,40,1,4,4
848,F,student,10,0,18,1
849,M,technician,30,1,19,3
850,M,other,10,1,13,1
851,M,administrator,40,1,0,4
852,M,writer,40,1,20,4
853,F,student,20,0,18,2
854,M,librarian,50,1,10,5
855,F,marketing,40,0,11,4
856,F,administrator,30,0,0,3
857,M,educator,60,1,3,6
858,F,other,10,0,13,1
859,F,retired,70,0,15,7
860,F,student,30,0,18,3
861,M,executive,20,1,6,2
862,M,student,10,1,18,1
863,M,programmer,20,1,14,2
864,M,artist,20,1,1,2
865,M,other,40,1,13,4
866,M,scientist,20,1,17,2
867,M,programmer,20,1,14,2
868,M,student,30,1,18,3
869,M,student,20,1,18,2
870,M,executive,30,1,6,3
871,F,student,10,0,18,1
872,F,administrator,40,0,0,4
873,M,scientist,30,1,17,3
874,F,student,20,0,18,2
875,M,other,40,1,13,4
876,M,other,30,1,13,3
877,F,educator,50,0,3,5
878,F,administrator,30,0,0,3
879,M,student,10,1,18,1
880,M,marketing,30,1,11,3
881,M,engineer,30,1,4,3
882,M,librarian,40,1,10,4
883,M,engineer,40,1,4,4
884,F,other,30,0,13,3
885,M,student,20,1,18,2
886,F,student,10,0,18,1
887,M,scientist,40,1,17,4
888,M,technician,20,1,19,2
889,M,student,30,1,18,3
890,F,administrator,50,0,0,5
891,M,other,30,1,13,3
892,M,student,20,1,18,2
893,M,educator,40,1,3,4
894,F,librarian,30,0,10,3
895,M,writer,20,1,20,2
896,M,other,30,1,13,3
897,M,homemaker,20,1,8,2
898,M,other,30,1,13,3
899,M,retired,60,1,15,6
900,M,executive,30,1,6,3
901,F,artist,40,0,1,4
902,M,educator,20,1,3,2
903,F,student,10,0,18,1
904,M,other,20,1,13,2
905,M,librarian,40,1,10,4
906,F,other,20,0,13,2
907,F,librarian,40,0,10,4
908,F,educator,50,0,3,5
909,M,healthcare,20,1,7,2
910,F,writer,30,0,20,3
911,M,other,50,1,13,5
912,M,student,20,1,18,2
913,F,other,40,0,13,4
914,M,entertainment,50,1,5,5
915,M,engineer,20,1,4,2
916,F,student,20,0,18,2
917,M,scientist,40,1,17,4
918,M,other,20,1,13,2
